,Name,MC_USD billion,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,JPMorgan Chase,419.25,389.903,335.4,34776.788
1,Bank of America,231.52,215.314,185.216,19204.584
2,Industrial and Commercial Bank of China,194.56,180.941,155.648,16138.752
3,Agricultural Bank of China,160.68,149.432,128.544,13328.406
4,HDFC Bank,157.91,146.856,126.328,13098.634
5,Wells Fargo,155.87,144.959,124.696,12929.417
6,HSBC Holdings PLC,148.9,138.477,119.12,12351.255
7,Morgan Stanley,140.83,130.972,112.664,11681.849
8,China Construction Bank,139.82,130.033,111.856,11598.069
9,Bank of China,136.81,127.233,109.448,11348.39
